Date,1. open,2. high,3. low,4. close,5. volume
2026-04-24,231.93,232.7999,225.0,231.98,9816859.0
2026-04-23,232.27,232.91,221.73,231.08,22297831.0
2026-04-22,254.51,257.54,247.21,251.86,12190197.0
2026-04-21,254.0,258.09,251.865,255.68,5584901.0
2026-04-20,255.0,258.5,252.56,253.71,5157714.0
2026-04-17,254.67,255.65,251.04,253.47,5671471.0
2026-04-16,248.75,251.22,246.125,251.0,4817500.0
2026-04-15,242.25,246.06,240.985,244.8,3879518.0
2026-04-14,238.75,241.5375,238.12,240.27,3777272.0
2026-04-13,233.63,238.07,231.7,237.82,5349619.0
2026-04-10,239.19,239.2674,230.51,230.76,5869361.0
2026-04-09,240.88,241.74,233.76,237.18,5078595.0
2026-04-08,248.63,250.0,240.8,241.74,4771476.0
2026-04-07,245.32,245.76,241.1,245.07,2356072.0
2026-04-06,248.14,248.8999,244.74,246.74,3376019.0
2026-04-02,243.0,248.2103,241.485,248.16,3350858.0
2026-04-01,242.12,246.2618,240.14,243.14,4228653.0
2026-03-31,240.27,242.85,236.38,242.39,4750293.0
2026-03-30,237.8,240.21,236.131,237.25,3882602.0
2026-03-27,238.85,239.44,233.75,236.34,4853707.0
2026-03-26,240.56,246.6742,239.8,241.67,3606840.0
2026-03-25,243.6,246.19,238.0,241.39,4207946.0
2026-03-24,246.445,247.11,238.0,240.59,4151491.0
2026-03-23,246.5,251.35,244.7101,248.44,4972008.0
2026-03-20,249.0,250.28,241.77,241.77,11314093.0
2026-03-19,249.43,252.19,248.25,250.37,4249458.0
2026-03-18,254.16,258.28,250.16,251.6,5177047.0
2026-03-17,250.51,256.39,250.0,256.11,5840139.0
2026-03-16,247.87,252.2,246.1,249.25,5674228.0
2026-03-13,247.67,249.72,244.71,246.28,4338431.0
2026-03-12,247.1,250.045,245.64,247.68,5547724.0
2026-03-11,250.005,253.715,247.2,248.87,4012239.0
2026-03-10,253.26,253.44,246.55,250.2,4937960.0
2026-03-09,255.38,258.08,251.571,253.33,6126567.0
2026-03-06,256.44,259.3999,252.21,258.85,6234402.0
2026-03-05,249.32,260.38,249.0,256.55,9899962.0
2026-03-04,245.745,250.85,244.955,250.06,6084995.0
2026-03-03,236.35,246.09,234.29,245.28,6960369.0
2026-03-02,235.7,240.78,233.78,239.37,6220287.0
2026-02-27,238.07,240.21,234.565,240.21,6642222.0
2026-02-26,239.71,247.4899,238.95,242.01,7343055.0
2026-02-25,233.22,239.55,231.22,237.54,8569713.0
2026-02-24,227.8,236.5937,223.63,229.32,13379817.0
2026-02-23,254.37,255.19,220.72,223.35,19522881.0
2026-02-20,255.195,259.04,253.8,257.16,4708550.0
2026-02-19,256.0,258.28,253.511,256.28,4948700.0
2026-02-18,258.64,261.11,256.25,260.79,3949229.0
2026-02-17,259.2,260.7,254.65,258.31,4929733.0
2026-02-13,260.0,264.66,256.64,262.38,6842620.0
2026-02-12,270.3,271.3,257.22,259.52,12565380.0
2026-02-11,292.34,293.5,272.3601,272.81,7628244.0
2026-02-10,294.99,297.61,290.33,291.76,3837343.0
2026-02-09,295.91,297.72,291.42,296.34,4627815.0
2026-02-06,292.5,299.89,290.657,298.93,3744313.0
